# 
# Phonon density of states and atom type projected DOS
# 
# Energy in Ha , DOS in states/Ha
# Gaussian method with smearing =   2.00000000E-05Ha , nqibz =1140
# 
# omega     PHDOS    INT_PHDOS   PJDOS[atom_type=1]  INT_PJDOS[atom_type=1] ...  
#
  -1.22270767E-04   1.26040435E+02   3.38980047E-03   1.26040435E+02   3.38980047E-03  
  -1.21359500E-04   1.27772750E+02   3.50623556E-03   1.27772750E+02   3.50623556E-03  
  -1.20448233E-04   1.29412534E+02   3.62416494E-03   1.29412534E+02   3.62416494E-03  
  -1.19536966E-04   1.30957261E+02   3.74350198E-03   1.30957261E+02   3.74350198E-03  
  -1.18625699E-04   1.32404920E+02   3.86415822E-03   1.32404920E+02   3.86415822E-03  
  -1.17714432E-04   1.33754038E+02   3.98604387E-03   1.33754038E+02   3.98604387E-03  
  -1.16803165E-04   1.35003697E+02   4.10906829E-03   1.35003697E+02   4.10906829E-03  
  -1.15891898E-04   1.36153543E+02   4.23314053E-03   1.36153543E+02   4.23314053E-03  
  -1.14980631E-04   1.37203792E+02   4.35816982E-03   1.37203792E+02   4.35816982E-03  
  -1.14069364E-04   1.38155224E+02   4.48406612E-03   1.38155224E+02   4.48406612E-03  
  -1.13158097E-04   1.39009179E+02   4.61074061E-03   1.39009179E+02   4.61074061E-03  
  -1.12246830E-04   1.39767534E+02   4.73810616E-03   1.39767534E+02   4.73810616E-03  
  -1.11335563E-04   1.40432685E+02   4.86607784E-03   1.40432685E+02   4.86607784E-03  
  -1.10424296E-04   1.41007516E+02   4.99457334E-03   1.41007516E+02   4.99457334E-03  
  -1.09513029E-04   1.41495360E+02   5.12351340E-03   1.41495360E+02   5.12351340E-03  
  -1.08601762E-04   1.41899965E+02   5.25282216E-03   1.41899965E+02   5.25282216E-03  
  -1.07690494E-04   1.42225440E+02   5.38242752E-03   1.42225440E+02   5.38242752E-03  
  -1.06779227E-04   1.42476206E+02   5.51226139E-03   1.42476206E+02   5.51226139E-03  
  -1.05867960E-04   1.42656945E+02   5.64225996E-03   1.42656945E+02   5.64225996E-03  
  -1.04956693E-04   1.42772535E+02   5.77236387E-03   1.42772535E+02   5.77236387E-03  
  -1.04045426E-04   1.42827998E+02   5.90251832E-03   1.42827998E+02   5.90251832E-03  
  -1.03134159E-04   1.42828431E+02   6.03267316E-03   1.42828431E+02   6.03267316E-03  
  -1.02222892E-04   1.42778948E+02   6.16278291E-03   1.42778948E+02   6.16278291E-03  
  -1.01311625E-04   1.42684620E+02   6.29280671E-03   1.42684620E+02   6.29280671E-03  
  -1.00400358E-04   1.42550412E+02   6.42270820E-03   1.42550412E+02   6.42270820E-03  
  -9.94890910E-05   1.42381126E+02   6.55245543E-03   1.42381126E+02   6.55245543E-03  
  -9.85778240E-05   1.42181350E+02   6.68202061E-03   1.42181350E+02   6.68202061E-03  
  -9.76665569E-05   1.41955403E+02   6.81137989E-03   1.41955403E+02   6.81137989E-03  
  -9.67552899E-05   1.41707293E+02   6.94051308E-03   1.41707293E+02   6.94051308E-03  
  -9.58440228E-05   1.41440675E+02   7.06940330E-03   1.41440675E+02   7.06940330E-03  
  -9.49327558E-05   1.41158817E+02   7.19803668E-03   1.41158817E+02   7.19803668E-03  
  -9.40214887E-05   1.40864571E+02   7.32640192E-03   1.40864571E+02   7.32640192E-03  
  -9.31102217E-05   1.40560356E+02   7.45448995E-03   1.40560356E+02   7.45448995E-03  
  -9.21989546E-05   1.40248138E+02   7.58229345E-03   1.40248138E+02   7.58229345E-03  
  -9.12876876E-05   1.39929426E+02   7.70980653E-03   1.39929426E+02   7.70980653E-03  
  -9.03764205E-05   1.39605272E+02   7.83702421E-03   1.39605272E+02   7.83702421E-03  
  -8.94651535E-05   1.39276277E+02   7.96394210E-03   1.39276277E+02   7.96394210E-03  
  -8.85538864E-05   1.38942605E+02   8.09055591E-03   1.38942605E+02   8.09055591E-03  
  -8.76426194E-05   1.38604004E+02   8.21686117E-03   1.38604004E+02   8.21686117E-03  
  -8.67313523E-05   1.38259829E+02   8.34285280E-03   1.38259829E+02   8.34285280E-03  
  -8.58200853E-05   1.37909080E+02   8.46852480E-03   1.37909080E+02   8.46852480E-03  
  -8.49088182E-05   1.37550432E+02   8.59386998E-03   1.37550432E+02   8.59386998E-03  
  -8.39975512E-05   1.37182282E+02   8.71887967E-03   1.37182282E+02   8.71887967E-03  
  -8.30862841E-05   1.36802788E+02   8.84354354E-03   1.36802788E+02   8.84354354E-03  
  -8.21750171E-05   1.36409923E+02   8.96784941E-03   1.36409923E+02   8.96784941E-03  
  -8.12637500E-05   1.36001519E+02   9.09178312E-03   1.36001519E+02   9.09178312E-03  
  -8.03524830E-05   1.35575324E+02   9.21532844E-03   1.35575324E+02   9.21532844E-03  
  -7.94412159E-05   1.35129049E+02   9.33846709E-03   1.35129049E+02   9.33846709E-03  
  -7.85299489E-05   1.34660422E+02   9.46117870E-03   1.34660422E+02   9.46117870E-03  
  -7.76186818E-05   1.34167237E+02   9.58344088E-03   1.34167237E+02   9.58344088E-03  
  -7.67074148E-05   1.33647407E+02   9.70522936E-03   1.33647407E+02   9.70522936E-03  
  -7.57961477E-05   1.33099006E+02   9.82651810E-03   1.33099006E+02   9.82651810E-03  
  -7.48848806E-05   1.32520315E+02   9.94727949E-03   1.32520315E+02   9.94727949E-03  
  -7.39736136E-05   1.31909863E+02   1.00674846E-02   1.31909863E+02   1.00674846E-02  
  -7.30623465E-05   1.31266458E+02   1.01871034E-02   1.31266458E+02   1.01871034E-02  
  -7.21510795E-05   1.30589227E+02   1.03061051E-02   1.30589227E+02   1.03061051E-02  
  -7.12398124E-05   1.29877632E+02   1.04244583E-02   1.29877632E+02   1.04244583E-02  
  -7.03285454E-05   1.29131500E+02   1.05421316E-02   1.29131500E+02   1.05421316E-02  
